question,answer,category,question_id,episode_history,extra_answers,response
is the brown dresser in the bedroom empty?,no,spatial understanding,f7b686fc-aa6c-4c41-b4b7-a355f558c640,hm3d-v0/036-hm3d-rJhMRvNn4DS,,"Yes, the brown dresser in the bedroom is empty.Ъ"
where precisely are the markers in the study room?,on the whiteboard bottom-right corner,spatial understanding,de97a986-30c3-4e0b-92dc-77ba1900cf8d,hm3d-v0/038-hm3d-b28CWbpQvor,,The markers are located on the wall of the study room.Ъ
what is above the markers on the whiteboard?,eraser,spatial understanding,471c0bc9-f594-42d9-90c7-075c14b2ede8,hm3d-v0/038-hm3d-b28CWbpQvor,,There is a chalkboard above the markers on the whiteboard.Ъ
Could I have a conversation with someone cooking dinner in the kitchen while I sit in the dining room?,Yes,spatial understanding,35c42d77-9cdd-4072-b423-768350e0dbf2,hm3d-v0/041-hm3d-GLAQ4DNUx5U,,"Yes, you could have a conversation with someone cooking dinner in the kitchen while you sit in the dining room.Ъ"
What is on top of the washing machine?,The dryer,spatial understanding,b70465b8-53a3-436f-b12f-2d8cdf8f1856,hm3d-v0/041-hm3d-GLAQ4DNUx5U,,There is a potted plant on top of the washing machine.Ъ
What is written on the wall above the sink between the two cupboards?,"We may not have it all together, but together we have it all.",spatial understanding,2e655103-1aea-46d2-911a-cb67cc13563d,hm3d-v0/042-hm3d-hkr2MGpHD6B,,"The wall above the sink between the two cupboards has the word ""dry"" written on it.Ъ"
"If I sit at the dining room table, will the back two legs of my chair be touch wood or carpet?",Wood,spatial understanding,e4f7ffc5-29ba-4c84-ae61-bb6c0625165e,hm3d-v0/042-hm3d-hkr2MGpHD6B,,"If you sit at the dining room table, the back two legs of your chair will be touching wood.Ъ"
what floor is the laundry room on,the 2nd floor,spatial understanding,20d8e2de-15af-48f0-89d7-39669e075d81,hm3d-v0/046-hm3d-X4qjx5vquwH,,The laundry room is on the second floor.Ъ
what is above the right bed,a window,spatial understanding,62627a1e-e41b-480d-9608-48a154b260bc,hm3d-v0/048-hm3d-kJJyRFXVpx2,,There is a light fixture above the bed on the right side of the room.Ъ
is there an area between the beds to place a glass of water,yes,spatial understanding,af709fd8-dca2-4697-9548-07aa9d157d8e,hm3d-v0/049-hm3d-SUHsP6z2gcJ,,"Yes, there is a small area between the two beds that can be used to place a glass of water.Ъ"
is there room to work from the table in the office,yes,spatial understanding,b7ec05d6-2f72-48b0-97f8-3708553719f0,hm3d-v0/050-hm3d-cvZr5TUy5C5,,"Yes, there is a table in the office area, which provides a workspace for the person working in the room.Ъ"
Could I put something on the chair by the front door?,Yes,spatial understanding,ff98f8af-e2a6-41e8-94e7-bdeb7badc3b9,hm3d-v0/068-hm3d-p53SfW6mjZe,,"Yes, you could put something on the chair by the front door.Ъ"
Can another cookie jar fit on the cookie jar shelf?,yes,spatial understanding,d5f844fc-81cd-465e-aa90-e8ff8658c861,hm3d-v0/069-hm3d-HMkoS756sz6,,"Yes, another cookie jar can fit on the cookie jar shelf.Ъ"
Can two adults fit on the bed?,no,spatial understanding,6f6b797e-3418-42b8-9e59-c8f6581a8d7f,hm3d-v0/069-hm3d-HMkoS756sz6,,"Yes, two adults can fit on the bed.Ъ"
What is between the kitchen and the stairway up?,A stairway down to the outside,spatial understanding,c66b8aa9-623f-46ab-9543-01b06aa606a1,hm3d-v0/073-hm3d-LEFTm3JecaC,,There is a window between the kitchen and the stairway up.Ъ
What is between the kitchen and the open closet?,An empty room,spatial understanding,a8cc7ee8-36ea-4726-bb0e-2642ffc2c2d0,hm3d-v0/073-hm3d-LEFTm3JecaC,,There is a window between the kitchen and the open closet.Ъ
What is the object between the Stationary Bike and the Table with the Lamp?,An armchair,spatial understanding,36db3d39-a9e9-420d-8660-789ba4adb3cb,hm3d-v0/083-hm3d-LNg5mXe1BDj,,There is a lamp between the stationary bike and the table.Ъ
"If you were to go down the stairs, then straight into the tv room, turn left in the door and go straight until you enter the last room, which room would it be?",The restroom,spatial understanding,6faa9052-c5ae-44b9-a024-ab14474d0c29,hm3d-v0/083-hm3d-LNg5mXe1BDj,,The last room would be the living room.Ъ
"Go to the living room, step close in front of the TV, turn to the left and enter the room, which room is it?",The studio,spatial understanding,9a6a84f5-2871-4703-8f00-85c1c31492ed,hm3d-v0/084-hm3d-zt1RVoi7PcG,,The living room
"There's something on the wall between the pet cage and the chimney, what is it?",A window,spatial understanding,91e9e006-5372-48fa-9620-18f80b809f74,hm3d-v0/084-hm3d-zt1RVoi7PcG,,There is a white sign on the wall between the pet cage and the chimney.Ъ
"When coming down the stairs, you exit near a couch. What's across from the stairs?",The bathroom,spatial understanding,aa639733-fd12-43f4-b186-d72316568450,hm3d-v0/086-hm3d-cYkrGrCg2kB,,"Across from the stairs, there is a couch."
Can you fit a large pizza on the table next to the downstairs couch?,Yes,spatial understanding,8bd85fd6-575a-40a5-becf-f5ca6bf90dcd,hm3d-v0/092-hm3d-eF36g7L6Z9M,,"Yes, the table next to the downstairs couch is large enough to fit a large pizza.Ъ"
Is there space for another beanbag chair against the far wall downstairs?,Yes,spatial understanding,4cae28e3-0192-4460-8f15-293b8e9fa9d3,hm3d-v0/094-hm3d-Qpor2mEya8F,,"Yes, there is space for another beanbag chair against the far wall downstairs.Ъ"
Is there space for another pillow on the back of the bench with the coat hangers?,No,spatial understanding,1fcfa31c-43d6-4c9a-acb6-21f019956e1c,hm3d-v0/094-hm3d-Qpor2mEya8F,,"Yes, there is space for another pillow on the back of the bench with the coat hangers.Ъ"
"Where is the ""Be Thankful"" poster?",Above the stairs,spatial understanding,740df01e-35fd-42ec-9a39-b04f53f2ff3c,hm3d-v0/096-hm3d-uLz9jNga3kC,,"The ""Be Thankful"" poster is hanging on the wall in the kitchen.Ъ"
"Where is ""Bless this home"" written?",Above the dinner room entrance,spatial understanding,ba427cc2-18ee-4082-8182-6d96c3db6396,hm3d-v0/096-hm3d-uLz9jNga3kC,,"""Bless this home"" is written on the wall in the kitchen.Ъ"
What is on the opposite wall of the bed?,TV,spatial understanding,8b193fd8-ac3f-40bf-add7-3b7dabacc87c,hm3d-v0/099-hm3d-q5QZSEeHe5g,,There is a mirror on the opposite wall of the bed.Ъ
What's below the window of the front door?,mailslot ,spatial understanding,5148a354-85bd-439b-bda8-6e15991553db,hm3d-v0/099-hm3d-q5QZSEeHe5g,,"Below the window of the front door, there is a bench.Ъ"
